Store,Store_Name,Store_Location,Dept,Dept_Name,Date,Item_Name,Item_Category,Item_Brand,Item_Price_IDR,Quantity_Sold,Weekly_Sales_IDR,Profit_Margin_Percent,Stock_Level,IsHoliday,Weekly_Sales
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-01-01,Indomie Goreng,Makanan Instan,Indofood,3342,79,264018,17.23,Medium,True,264018
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-01-08,Indomie Goreng,Makanan Instan,Indofood,3623,97,351431,23.92,Low,False,351431
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-01-15,Indomie Goreng,Makanan Instan,Indofood,3445,64,220480,15.3,Medium,False,220480
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-01-22,Indomie Goreng,Makanan Instan,Indofood,3503,92,322276,15.27,Medium,True,322276
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-01-29,Indomie Goreng,Makanan Instan,Indofood,3604,70,252280,20.45,Medium,False,252280
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-02-05,Indomie Goreng,Makanan Instan,Indofood,3562,71,252902,23.09,Medium,False,252902
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-02-12,Indomie Goreng,Makanan Instan,Indofood,3714,60,222840,21.98,High,False,222840
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-02-19,Indomie Goreng,Makanan Instan,Indofood,3258,77,250866,24.57,Medium,False,250866
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-02-26,Indomie Goreng,Makanan Instan,Indofood,3214,77,247478,15.97,Medium,False,247478
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-03-05,Indomie Goreng,Makanan Instan,Indofood,3572,103,367916,23.07,Low,False,367916
TK001,Indomaret Sudirman,Jakarta Pusat,FOOD,Makanan Instan,2023-03-12,Indomie Goreng,Makanan Instan,Indofood,3525,97,341925,24.73,Low,False,341925
