Store,Dept,Date,Weekly_Sales,IsHoliday
3,1,2023-01-01,51968.42,True
3,1,2023-01-08,40087.16,False
3,1,2023-01-15,47740.16,False
3,1,2023-01-22,48828.13,False
3,1,2023-01-29,40913.27,False
3,1,2023-02-05,43334.33,False
3,1,2023-02-12,35932.72,False
3,1,2023-02-19,49598.12,False
3,1,2023-02-26,37004.51,False
3,1,2023-03-05,48794.97,False
3,1,2023-03-12,43935.17,False
3,1,2023-03-19,43240.24,False
3,1,2023-03-26,41664.2,False
3,1,2023-04-02,36987.9,False
3,1,2023-04-09,36090.14,False
3,1,2023-04-16,36819.04,False
3,1,2023-04-23,36254.47,False
3,1,2023-04-30,46089.74,False
3,1,2023-05-07,38968.65,False
3,1,2023-05-14,34122.16,False
3,1,2023-05-21,49232.24,False
3,1,2023-05-28,47817.55,False
3,1,2023-06-04,53401.24,False
3,1,2023-06-11,54626.14,False
3,1,2023-06-18,39651.14,False
3,1,2023-06-25,43706.67,False
3,1,2023-07-02,75464.05,True
3,1,2023-07-09,49174.53,False
3,1,2023-07-16,39286.36,False
3,1,2023-07-23,51359.87,False
3,1,2023-07-30,40573.07,False
3,1,2023-08-06,40561.7,False
3,1,2023-08-13,46273.58,False
3,1,2023-08-20,47294.37,False
3,1,2023-08-27,47059.93,False
3,1,2023-09-03,34680.03,False
3,1,2023-09-10,47712.68,False
3,1,2023-09-17,37567.09,False
3,1,2023-09-24,35310.59,False
3,1,2023-10-01,47899.83,False
3,1,2023-10-08,49009.2,False
3,1,2023-10-15,47458.43,False
3,1,2023-10-22,46586.05,False
3,1,2023-10-29,44027.95,False
3,1,2023-11-05,54986.22,False
3,1,2023-11-12,44987.04,False
3,1,2023-11-19,51916.56,False
3,1,2023-11-26,76718.43,True
3,1,2023-12-03,48711.2,False
3,1,2023-12-10,58705.98,False
3,1,2023-12-17,53801.04,False
3,1,2023-12-24,67288.47,True
3,1,2023-12-31,47858.22,False
3,2,2023-01-01,46501.62,True
3,2,2023-01-08,42574.62,False
3,2,2023-01-15,37257.88,False
3,2,2023-01-22,37040.47,False
3,2,2023-01-29,38710.2,False
3,2,2023-02-05,42178.53,False
3,2,2023-02-12,35057.82,False
3,2,2023-02-19,39988.51,False
3,2,2023-02-26,38311.87,False
3,2,2023-03-05,33851.58,False
3,2,2023-03-12,42984.11,False
3,2,2023-03-19,41771.56,False
3,2,2023-03-26,39696.38,False
3,2,2023-04-02,42565.29,False
3,2,2023-04-09,42814.84,False
3,2,2023-04-16,40441.66,False
3,2,2023-04-23,42362.68,False
3,2,2023-04-30,40279.02,False
3,2,2023-05-07,40020.24,False
3,2,2023-05-14,39101.47,False
3,2,2023-05-21,41103.95,False
3,2,2023-05-28,32232.59,False
3,2,2023-06-04,47319.32,False
3,2,2023-06-11,47171.05,False
3,2,2023-06-18,33331.11,False
3,2,2023-06-25,46415.04,False
3,2,2023-07-02,52451.16,True
3,2,2023-07-09,38355.15,False
3,2,2023-07-16,45063.09,False
3,2,2023-07-23,35491.25,False
3,2,2023-07-30,46286.11,False
3,2,2023-08-06,46518.81,False
3,2,2023-08-13,41186.05,False
3,2,2023-08-20,32955.6,False
3,2,2023-08-27,37565.41,False
3,2,2023-09-03,39076.32,False
3,2,2023-09-10,44515.49,False
3,2,2023-09-17,39298.61,False
3,2,2023-09-24,33743.7,False
3,2,2023-10-01,39331.34,False
3,2,2023-10-08,37927.42,False
3,2,2023-10-15,41509.04,False
3,2,2023-10-22,31461.73,False
3,2,2023-10-29,41228.06,False
3,2,2023-11-05,49330.51,False
3,2,2023-11-12,57516.96,False
3,2,2023-11-19,45459.91,False
3,2,2023-11-26,76655.82,True
3,2,2023-12-03,56915.89,False
3,2,2023-12-10,40813.46,False
3,2,2023-12-17,57016.84,False
3,2,2023-12-24,78264.98,True
3,2,2023-12-31,40140.4,False
3,3,2023-01-01,35810.5,True
3,3,2023-01-08,18224.56,False
3,3,2023-01-15,22762.91,False
3,3,2023-01-22,20679.94,False
3,3,2023-01-29,23104.46,False
3,3,2023-02-05,18034.07,False
3,3,2023-02-12,25313.79,False
3,3,2023-02-19,26212.55,False
3,3,2023-02-26,26171.9,False
3,3,2023-03-05,24239.33,False
3,3,2023-03-12,18777.6,False
3,3,2023-03-19,24315.24,False
3,3,2023-03-26,17847.58,False
3,3,2023-04-02,17825.86,False
3,3,2023-04-09,20483.59,False
3,3,2023-04-16,21938.43,False
3,3,2023-04-23,24422.3,False
3,3,2023-04-30,23654.37,False
3,3,2023-05-07,21561.65,False
3,3,2023-05-14,20042.97,False
3,3,2023-05-21,26420.9,False
3,3,2023-05-28,21387.8,False
3,3,2023-06-04,23771.0,False
3,3,2023-06-11,20980.57,False
3,3,2023-06-18,27101.15,False
3,3,2023-06-25,26120.53,False
3,3,2023-07-02,32302.07,True
3,3,2023-07-09,20192.76,False
3,3,2023-07-16,25992.69,False
3,3,2023-07-23,25740.69,False
3,3,2023-07-30,22043.7,False
3,3,2023-08-06,28614.4,False
3,3,2023-08-13,20858.72,False
3,3,2023-08-20,23586.25,False
3,3,2023-08-27,28544.12,False
3,3,2023-09-03,21330.91,False
3,3,2023-09-10,23259.71,False
3,3,2023-09-17,21135.79,False
3,3,2023-09-24,20048.16,False
3,3,2023-10-01,26305.01,False
3,3,2023-10-08,21239.28,False
3,3,2023-10-15,25512.69,False
3,3,2023-10-22,19657.98,False
3,3,2023-10-29,19509.44,False
3,3,2023-11-05,23276.88,False
3,3,2023-11-12,30388.21,False
3,3,2023-11-19,27143.41,False
3,3,2023-11-26,49238.5,True
3,3,2023-12-03,28343.09,False
3,3,2023-12-10,34015.62,False
3,3,2023-12-17,25046.21,False
3,3,2023-12-24,49311.81,True
3,3,2023-12-31,31819.92,False
3,4,2023-01-01,69703.23,True
3,4,2023-01-08,45100.64,False
3,4,2023-01-15,42898.65,False
3,4,2023-01-22,34813.35,False
3,4,2023-01-29,33200.81,False
3,4,2023-02-05,47711.32,False
3,4,2023-02-12,42742.33,False
3,4,2023-02-19,45680.74,False
3,4,2023-02-26,40535.05,False
3,4,2023-03-05,34585.7,False
3,4,2023-03-12,34714.38,False
3,4,2023-03-19,43868.04,False
3,4,2023-03-26,39698.44,False
3,4,2023-04-02,35945.02,False
3,4,2023-04-09,40699.57,False
3,4,2023-04-16,33718.34,False
3,4,2023-04-23,42175.86,False
3,4,2023-04-30,37063.44,False
3,4,2023-05-07,45697.43,False
3,4,2023-05-14,37739.18,False
3,4,2023-05-21,40105.41,False
3,4,2023-05-28,32859.32,False
3,4,2023-06-04,37238.19,False
3,4,2023-06-11,42988.86,False
3,4,2023-06-18,44560.1,False
3,4,2023-06-25,46717.75,False
3,4,2023-07-02,61765.66,True
3,4,2023-07-09,48424.04,False
3,4,2023-07-16,51391.32,False
3,4,2023-07-23,49948.99,False
3,4,2023-07-30,36648.33,False
3,4,2023-08-06,44570.31,False
3,4,2023-08-13,37821.86,False
3,4,2023-08-20,40285.57,False
3,4,2023-08-27,53665.02,False
3,4,2023-09-03,34997.13,False
3,4,2023-09-10,40818.71,False
3,4,2023-09-17,42766.92,False
3,4,2023-09-24,44144.09,False
3,4,2023-10-01,41811.22,False
3,4,2023-10-08,32829.1,False
3,4,2023-10-15,38002.16,False
3,4,2023-10-22,41126.19,False
3,4,2023-10-29,34104.78,False
3,4,2023-11-05,49915.97,False
3,4,2023-11-12,43175.42,False
3,4,2023-11-19,44138.98,False
3,4,2023-11-26,76348.63,True
